EarthRef.org -- GERM Reservoir Database
Database development and maintenance by the PACER Team

DATA:
Reservoir	Z	Element	Value	Median	SD	Low	High	N	Unit	Reference	Computation	Notes	Inserted
CI Chondrites	77	Ir	460						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	77	Ir	480						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	77	Ir	455						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	19	K	517						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	19	K	550						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	19	K	560						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	57	La	237						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	57	La	245						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	57	La	236						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	3	Li	1.5						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	3	Li	1.45						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	3	Li	1.57						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	71	Lu	25						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	71	Lu	24.5						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	71	Lu	24.6						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	12	Mg	9.65						wt%	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	12	Mg	9.7						wt%	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	12	Mg	9.4						wt%	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites		Mg/Cr	36.4							McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites.	23-FEB-1999
CI Chondrites		Mg/Si	.906							McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites.	23-FEB-1999
CI Chondrites		Mg/V	.172							McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites.	23-FEB-1999
CI Chondrites	25	Mn	1.82						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	25	Mn	1920						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	25	Mn	1900						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	42	Mo	920						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	42	Mo	920						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	42	Mo	900						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	7	N	1500						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	7	N	3.18						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	7	N	3180						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	11	Na	5.02						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	11	Na	4900						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	11	Na	5100						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites		Na/K	9.3							McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites.	23-FEB-1999
CI Chondrites	41	Nb	240						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	41	Nb	246						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	41	Nb	270						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	60	Nd	474						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	60	Nd	457						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	60	Nd	457						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	28	Ni	10800						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	28	Ni	10700						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	28	Ni	10500						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	76	Os	490						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	76	Os	490						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	76	Os	490						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites		Os/Ir	1.077							McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites.	23-FEB-1999
CI Chondrites	15	P	1.01						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	15	P	1080						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	15	P	1020						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	82	Pb	2430						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	82	Pb	2470						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	82	Pb	2400						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	46	Pd	530						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	46	Pd	550						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	46	Pd	560						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	59	Pr	92.8						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	59	Pr	96						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	59	Pr	92.9						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	78	Pt	1050						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	78	Pt	1010						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	78	Pt	990						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	37	Rb	2.22						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	37	Rb	2.06						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	37	Rb	2.3						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	75	Re	37						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	75	Re	37						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	75	Re	40						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	45	Rh	134						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	45	Rh	130						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	45	Rh	130						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	44	Ru	690						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	44	Ru	710						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	44	Ru	710						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	16	S	5.9						wt%	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	16	S	5.4						wt%	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	16	S	5.8						wt%	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	51	Sb	130						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	51	Sb	153						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	51	Sb	140						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	21	Sc	5.9						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	21	Sc	5.8						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	21	Sc	5.92						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites		Sc/Yb	36.8							McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites.	23-FEB-1999
CI Chondrites	34	Se	19.6						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	34	Se	18.9						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	34	Se	21						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	14	Si	10.65						wt%	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	14	Si	10.5						wt%	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	14	Si	10.7						wt%	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	62	Sm	149						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	62	Sm	154						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	62	Sm	148						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites		Sm/Yb	.919							McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites.	23-FEB-1999
CI Chondrites	50	Sn	1650						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	50	Sn	1750						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	50	Sn	1720						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	38	Sr	7.25						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	38	Sr	7.9						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	38	Sr	8.6						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	73	Ta	13.6						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	73	Ta	14						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	73	Ta	16						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	65	Tb	35.5						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	65	Tb	36.1						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	65	Tb	37						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	52	Te	2330						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	52	Te	2340						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	52	Te	2400						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	90	Th	29						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	90	Th	29						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	90	Th	29						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	22	Ti	420						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	22	Ti	440						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	22	Ti	440						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites		Ti/Sc	74.3							McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites.	23-FEB-1999
CI Chondrites	81	Tl	142						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	81	Tl	140						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	81	Tl	140						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	69	Tm	24.7						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	69	Tm	24.7						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	69	Tm	26						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	92	U	8.2						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
